# rank	seq_id	rel_abund_perc
96	gi|9630960|ref|NC_001963.1|	0.284956725849013
97	gi|47835019|ref|NC_004333.2|	0.280542825923013
98	gi|9630656|ref|NC_001925.1|	0.276835453691013
99	gi|28872853|ref|NC_004583.1|	0.276026166566013
100	gi|675510793|ref|NC_024773.1|	0.272511620127013
101	gi|326782732|ref|NC_015283.1|	0.271189426820013
102	gi|14250967|ref|NC_002794.1|	0.270795316540013
103	gi|119953625|ref|NC_008717.1|	0.270174155845013
104	gi|335352415|ref|NC_015521.1|	0.269086202252013
105	gi|118725119|ref|NC_008614.1|	0.267535406400013
106	gi|19747285|ref|NC_003482.1|	0.264637792567012
107	gi|207271573|ref|NC_011310.1|	0.261977218519012
108	gi|48843719|ref|NC_005902.1|	0.260825569668012
109	gi|20143446|ref|NC_003570.1|	0.259517174215012
110	gi|9632353|ref|NC_002041.1|	0.258725609355012
111	gi|371670910|ref|NC_016562.1|	0.258453082411012
112	gi|172088174|ref|NC_010563.1|	0.255571141471012
113	gi|21218484|ref|NC_003899.1|	0.248049776540012
114	gi|658607886|ref|NC_024388.1|	0.245692211661012
115	gi|50428554|ref|NC_006059.1|	0.245483307463012
116	gi|166197717|ref|NC_010295.1|	0.244611484924011
117	gi|667699620|ref|NC_024507.1|	0.244426696484011
118	gi|21450051|ref|NC_004033.1|	0.244241388897011
119	gi|27151468|ref|NC_003907.2|	0.240323985356011
120	gi|563398178|ref|NC_022973.1|	0.237947329635011
121	gi|11119632|ref|NC_002602.2|	0.237653696429011
122	gi|56121875|ref|NC_006494.1|	0.237092451822011
123	gi|190643463|ref|NC_010987.1|	0.236012392457011
124	gi|658310528|ref|NC_024358.1|	0.235094496602011
125	gi|197085612|ref|NC_007030.2|	0.234307382749011
126	gi|45597171|ref|NC_001270.2|	0.230883676758011
127	gi|50355586|ref|NC_006052.1|	0.229845954532011
128	gi|226423329|ref|NC_012539.1|	0.228989866102011
129	gi|514360950|ref|NC_021542.1|	0.228307108187011
130	gi|658310895|ref|NC_024366.1|	0.227343409326011
131	gi|401715652|ref|NC_018449.1|	0.226561103278011
132	gi|543171632|ref|NC_022342.1|	0.21887011520101
133	gi|563399030|ref|NC_022982.1|	0.21678751684001
134	gi|37591172|ref|NC_002815.2|	0.21480057519401
135	gi|590428211|ref|NC_023638.1|	0.21432750415501
136	gi|685497472|ref|NC_024887.1|	0.21222742879301
137	gi|89888607|ref|NC_007817.1|	0.20961914743201
138	gi|19744936|ref|NC_003479.1|	0.20751905321201
139	gi|589890642|ref|NC_023570.1|	0.20629915961201
140	gi|216967209|ref|NC_011639.1|	0.202789812971009
141	gi|326910944|ref|NC_015299.1|	0.202538065003009
142	gi|9626460|ref|NC_001437.1|	0.196654329849009
143	gi|9626993|ref|NC_001510.1|	0.192837558597009
144	gi|557478762|ref|NC_022761.1|	0.192828251553009
145	gi|282598606|ref|NC_013694.1|	0.192642524643009
146	gi|22549402|ref|NC_004117.1|	0.191854835853009
147	gi|712913234|ref|NC_025431.1|	0.189486018243009
148	gi|712912224|ref|NC_025420.1|	0.189359763050009
149	gi|9626196|ref|NC_001407.1|	0.189347582581009
150	gi|548558394|ref|NC_022518.1|	0.188038494689009
151	gi|56407670|ref|NC_006502.1|	0.187659873538009
152	gi|187903037|ref|NC_010671.1|	0.187507823212009
153	gi|9630525|ref|NC_001902.1|	0.186655586072009
154	gi|9635677|ref|NC_002486.1|	0.186249492290009
155	gi|9629466|ref|NC_001813.1|	0.184921057932009
156	gi|388570316|ref|NC_017968.1|	0.184813875530009
157	gi|338777097|ref|NC_005041.2|	0.183629517589009
158	gi|9627971|ref|NC_001639.1|	0.181419690625009
159	gi|428782724|ref|NC_019722.1|	0.180640212512008
160	gi|22128611|ref|NC_004099.1|	0.180112793928008
161	gi|85813347|ref|NC_007736.1|	0.180112571200008
162	gi|148717842|ref|NC_009526.1|	0.180091972282008
163	gi|9633069|ref|NC_000898.1|	0.179498105179008
164	gi|589891039|ref|NC_023578.1|	0.176750706959008
165	gi|509140039|ref|NC_021325.1|	0.176444727345008
166	gi|9629708|ref|NC_001836.1|	0.176093620342008
167	gi|195546756|ref|NC_011106.1|	0.171895169628008
168	gi|28976184|ref|NC_004613.1|	0.170740675036008
169	gi|189178631|ref|NC_010792.1|	0.170552721037008
170	gi|52093349|ref|NC_006271.1|	0.167211775013008
171	gi|117530853|ref|NC_008560.1|	0.166572688767008
172	gi|29711070|ref|NC_004706.1|	0.166122895105008
173	gi|593776230|ref|NC_023709.1|	0.165840599003008
174	gi|115315628|ref|NC_008371.1|	0.165362436686008
175	gi|318054208|ref|NC_014906.1|	0.162948629714008
176	gi|20522096|ref|NC_003795.1|	0.162922910667008
177	gi|448260223|ref|NC_020078.1|	0.159891451545008
178	gi|9626945|ref|NC_001498.1|	0.158617648899007
179	gi|470457071|ref|NC_020499.1|	0.156527292079007
180	gi|48696557|ref|NC_005889.1|	0.156501547614007
181	gi|45686283|ref|NC_005833.1|	0.156469943924007
182	gi|332290641|ref|NC_015493.1|	0.155955311594007
183	gi|19744932|ref|NC_003476.1|	0.155939746649007
184	gi|394935448|ref|NC_017083.1|	0.153915200073007
185	gi|360040865|ref|NC_016440.1|	0.153413657181007
186	gi|72257063|ref|NC_001361.2|	0.153260803869007
187	gi|111572515|ref|NC_003792.2|	0.151336423116007
188	gi|608055521|ref|NC_023870.1|	0.150682417847007
189	gi|21450040|ref|NC_004034.1|	0.150231188635007
190	gi|22855148|ref|NC_004165.1|	0.150131263178007
191	gi|31880044|ref|NC_004831.2|	0.150104751396007
192	gi|9630688|ref|NC_001935.1|	0.149634339825007
193	gi|120407008|ref|NC_008728.1|	0.148400864213007
194	gi|21553928|ref|NC_004047.1|	0.148305938596007
195	gi|459642392|ref|NC_020471.1|	0.147679251666007
196	gi|582973099|ref|NC_023426.1|	0.147550412651007
197	gi|323714223|ref|NC_015131.1|	0.145957989401007
198	gi|581976502|ref|NC_023421.1|	0.145928270637007
199	gi|189009878|ref|NC_010736.1|	0.144674152460007
200	gi|60683946|ref|NC_006876.1|	0.144452345562007
201	gi|526177981|ref|NC_021800.1|	0.144195536834007
202	gi|22128020|ref|NC_004091.1|	0.143553997249007
203	gi|20177491|ref|NC_003633.1|	0.142933517296007
204	gi|607064665|ref|NC_023895.1|	0.142527909084007
205	gi|520783028|ref|NC_021635.1|	0.141538834765007
206	gi|197725705|ref|NC_011189.1|	0.141478534613007
207	gi|109392453|ref|NC_008203.1|	0.139423603213007
208	gi|118129780|ref|NC_008582.1|	0.139060528406007
209	gi|459642523|ref|NC_020475.1|	0.139008284245007
210	gi|9635478|ref|NC_002363.1|	0.138870098114007
211	gi|514051256|ref|NC_021537.1|	0.137810936602006
